plate,fiberid,mjd,z,Flux_HeII_3203,Flux_NeV_3345,Flux_NeV_3425,Flux_OII_3726,Flux_OII_3728,Flux_NeIII_3868,Flux_NeIII_3967,Flux_He_3970,Flux_Hd_4101,Flux_Hg_4340,Flux_OIII_4363,Flux_HeII_4685,Flux_ArIV_4711,Flux_ArIV_4740,Flux_Hb_4861,Flux_OIII_4958,Flux_OIII_5006,Flux_NI_5197,Flux_NI_5200,Flux_HeI_5875,Flux_OI_6300,Flux_OI_6363,Flux_NII_6547,Flux_Ha_6562,Flux_NII_6583,Flux_SII_6716,Flux_SII_6730
2505,504,53856,0.2194258,0.085270833,0.169640898,0.528593911,0.937429313,3.304889188,0.87671885,0.437282054, ,0.236884252,0.506917547,0.202170238,0.271448992,0.033970507, ,1.169654774,3.460787653,9.957376908,0.143010907,0.21401045,0.060354327,0.508158756,0.16948585,0.820111847,3.625929798,2.419009996,1.059861198,0.813094097
4217,190,55478,0.3444434, , , ,0.686027775,0.871448369,0.252951093,0.028127007,0.059162568,0.261610299,0.349973281,0.134171819, ,0.024342187, ,0.859900585,0.185495389,0.526428088,0.135968776,0.085105651,0.088329138,0.094400487,0.082859871,0.401043066,2.665691812,1.176289529,0.450883346,0.42959413
6000,635,56102,0.4475329,0.108338677,0.288712084,0.611823536,0.057890213,1.53784749,0.830010757,0.063411309,0.356903967,0.204979934,0.389689968,0.212047047,0.19049356,0.02226064,0.015828124,0.983540721,3.697323062,10.55595424,0.00191921, ,0.103399309,0.251149209,0.163061002,0.277490442,3.048976234,0.815900747,0.297638814,0.295427602
625,534,52145,0.1902844, ,0.484426918, ,1.040984256,1.028219365,0.238449902, ,0.265464774,0.192860756,0.399784032, , , , ,0.593377103,0.114380754,0.31927648,0.0555591, ,0.057879754,0.023279386,0.039754673,0.286678433,1.839469019,0.835168077,0.173904226,0.124287078
1766,317,53468,0.1367847, , ,1.250462718,1.086144863,0.584726508,0.821780849,0.347414857, ,0.205434104,0.398729485,0.138971207,0.36633258, , ,0.950350658,3.144263183,8.963210522, , ,0.093309964,0.235847849,0.107670615,0.66681179,2.946087041,1.959386681,0.536188213,0.435008753
407,620,51820,0.2569713, , ,0.065066322, ,1.734594341,0.03669072, ,0.134721256,0.164569322,0.414660963, ,0.922199128, , ,0.738334969,0.122217434,0.344496021, ,0.243717563,0.090429133,0.226379504,0.135061352,0.241511343,2.288838405,0.706400431,0.36886201,0.332850254
1822,12,53172,0.1165293, , ,0.375054851,2.654048015,0.979035594,0.675845499,0.033552891,0.344810113,0.259213775,0.519119022,0.145399848,0.165988676,0.053808104, ,0.99979434,1.953852396,5.582385177,0.024993154, ,0.098635248,0.217872326,0.082364721,0.265119456,3.099362454,0.779760211,0.582177429,0.479450643
6284,245,56310,0.4027908,0.317880355,0.442361628,1.017776437,1.102286418,1.884593967,1.05445604,0.257585637, ,0.304756554,0.509008718,0.114072681,0.213358782, , ,1.172777062,4.232443507,12.17902944,0.030586478,0.054025831,0.120331463,0.472711407,0.30208946,0.694291441,3.635608891,2.047989641,0.889502101,0.89339404
6443,581,56367,0.3935362,0.154210952,0.384197702,0.913457043,2.267371894,0.668580746,0.931483335,0.316405746,0.130854413,0.138840644,0.492600594,0.113541496,0.272302605,0.03451233,0.054604737,0.802511649,3.050519474,8.630595317,0.112958296, ,0.102665155,0.200193783,0.079552233,0.444623065,2.487786113,1.302467571,0.522073904,0.305651547
377,45,52145,0.05353812, , , , ,3.588277032,0.792307875,0.410161733,0.077788437,0.130607944,0.479584549,0.143908798,0.245563274, ,0.110866312,0.962691445,2.729306018,7.784795459, ,0.089651964,0.199254801,0.445202492,0.12431085,1.332853619,2.984343481,3.917435257,1.106911726,0.913946309
1368,55,53084,0.04774429, , , ,1.137679935,0.955003361,0.447544256,0.343665458,0.097502488,0.343155518,0.470409199,0.003741688,0.116388335,0.008712618,0.002762865,0.92495272,1.24976727,3.558350332, ,0.018247205,0.093000511,0.160884145,0.05497738,0.621365393,2.867353431,1.824942293,0.580486916,0.503322107
2570,44,54081,0.1002603, , , ,3.882670407, ,0.097688001, ,0.05424951, ,0.884026764, ,0.325012245, , ,1.400281705,0.415164019,1.204144, , ,0.435437118,0.52426412,0.546999257,1.094553997,4.340873285,3.239144778,1.609546447,1.022909704
6686,893,56389,0.3849562,0.129649387,0.445541715,1.135226006,0.324252329,1.507469385,1.288890163,0.559081193,0.010326117,0.189487602,0.388983834,0.316260939,0.185601634,0.030052711,0.034258243,1.059993647,4.673813566,13.38852852, ,0.042415357,0.084139773,0.529301497,0.168160693,0.499724373,3.285980305,1.471343157,0.427238779,0.240192259
418,385,51817,0.09302478, , , ,0.805797409,1.08358092,0.797238101,0.198333795,0.275439479,0.178758441,0.54495703,0.200286712,0.375144834,0.089710918,0.166078606,1.183376058,3.992306035,11.49263928, ,0.030289676,0.152651077,0.533444958,0.123381043,1.170903617,3.668465779,3.454447558,0.949292948,0.785244194
815,54,52374,0.1892775,0.21171854,0.088689831, ,0.61988354,0.969580863,0.170092144,0.051397806,0.131214644,0.200944454,0.307795401,0.009860943,2616898.483, , ,0.709103243,0.211894565,0.596194277, ,0.053821914,0.051743207,0.094730905,0.018804887,0.407458051,2.198220055,1.190901501,0.318933399,0.258797346
891,22,52584,0.08578172, , , ,1.070028763,1.118242685,0.519425307,0.132857673,0.180360514,0.259713188,0.453333685,0.086247807,0.155128356,0.019036186, ,0.988862524,1.66554211,4.756313276, , ,0.108289916,0.285164787,0.093566697,0.844782249,3.065473825,2.484144843,0.583084674,0.471846428
1167,537,52738,0.06858101, , , ,0.852179298,2.3976588,0.50360328,0.149261034,0.153210325,0.229429917,0.452288613,0.060164535,0.126386616,0.003746292, ,1.016251564,1.263386749,3.612274885, ,0.081822886,0.141335654,0.411921367,0.126248081,1.181773178,3.150379849,3.476828268,1.239848907,1.067440015
1295,37,52934,0.07425909, , , ,0.676968301,0.886893097,0.470725767,0.226858694,0.102802004,0.182985924,0.432403278,0.050338772,0.149303587,0.034062545,0.040786111,0.92625165,1.568520988,4.466190135, ,0.022407142,0.070982701,0.152816383,0.024559203,0.734474546,2.871380114,2.157196931,0.643972917,0.542138955
