plate,fiberid,mjd,z,Flux_HeII_3203,Flux_NeV_3345,Flux_NeV_3425,Flux_OII_3726,Flux_OII_3728,Flux_NeIII_3868,Flux_NeIII_3967,Flux_He_3970,Flux_Hd_4101,Flux_Hg_4340,Flux_OIII_4363,Flux_HeII_4685,Flux_ArIV_4711,Flux_ArIV_4740,Flux_Hb_4861,Flux_OIII_4958,Flux_OIII_5006,Flux_NI_5197,Flux_NI_5200,Flux_HeI_5875,Flux_OI_6300,Flux_OI_6363,Flux_NII_6547,Flux_Ha_6562,Flux_NII_6583,Flux_SII_6716,Flux_SII_6730,Flux_HeII_3203_Err,Flux_NeV_3345_Err,Flux_NeV_3425_Err,Flux_OII_3726_Err,Flux_OII_3728_Err,Flux_NeIII_3868_Err,Flux_NeIII_3967_Err,Flux_He_3970_Err,Flux_Hd_4101_Err,Flux_Hg_4340_Err,Flux_OIII_4363_Err,Flux_HeII_4685_Err,Flux_ArIV_4711_Err,Flux_ArIV_4740_Err,Flux_Hb_4861_Err,Flux_OIII_4958_Err,Flux_OIII_5006_Err,Flux_NI_5197_Err,Flux_NI_5200_Err,Flux_HeI_5875_Err,Flux_OI_6300_Err,Flux_OI_6363_Err,Flux_NII_6547_Err,Flux_Ha_6562_Err,Flux_NII_6583_Err,Flux_SII_6716_Err,Flux_SII_6730_Err
5022,133,55827,0.4094798,21.53382,56.44944,165.2426,250.6701,475.3595,214.0926,75.82825,26.47194,55.39806,108.3656,68.82018,47.38767,7.964603,4.348091,250.9324,755.2812,2157.946,0,17.60645,13.3197,166.4019,59.9479,132.4198,826.8993,389.4702,167.8015,107.595,6.98419,7.909529,11.89673,2669.439,1445.105,13.35055,21.8331,14.71772,6.731688,7.60558,6.405036,4.419872,7.973148,3.413506,13.1652,24.20284,69.15098,0,4.376891,5.02462,8.712714,7.04994,4.293506,28.15152,12.62796,14.93955,12.18539
5362,965,56017,0.4312594,26.20276,38.71345,108.693,50.49152,456.476,150.7317,0,68.81722,44.49263,84.70811,24.80104,30.33599,3.911344,0,180.9797,634.3401,1812.4,0,1.285843,16.19122,53.36624,24.71993,75.84021,579.4745,223.0594,81.9043,100.5552,12.51086,8.744695,14.36095,23.36089,53.09238,16.18308,0,9.544056,6.827559,11.55354,6.572402,5.154439,2.912765,0,14.21777,61.32173,175.2049,0,5.641356,4.902009,5.541409,4.73913,6.046583,35.40656,17.78407,9.486902,10.94592
419,422,51879,0.117537,0,0,884.9848,504.4536,1209.304,608.8591,139.4583,145.6973,214.0895,396.7415,0,270.3758,12.74067,2.629057,1030.951,2148.489,6138.541,65.08999,0,139.5796,218.7911,91.24184,1011.706,3813.313,2975.605,745.978,611.3521,0,0,50.299,1637.228,1541.401,26.95381,136.6627,107.6031,23.39038,21.43526,0,25.50373,20.44716,50.21537,30.59306,33.54168,95.83338,20.78307,0,19.93062,19.06313,16.82821,13.08084,55.34881,38.47307,26.77038,25.49723
423,491,51821,0.1287687,0,454.9855,201.2637,205.278,101.4979,109.4113,15.23277,36.08905,31.52256,64.44392,27.98334,43.08386,8.442935,5.99321,125.412,411.0696,1174.485,0,3.537199,17.24944,31.66974,13.53884,89.42529,440.6813,263.0156,77.00574,73.60506,0,4421.352,32.38983,522.9791,865.4042,16.06839,11.8688,25.85975,10.88534,12.42525,17.23012,9.412437,7.559002,13.28468,12.94941,15.98891,45.6826,0,2254.773,4.693556,6.446426,5.961061,4.32027,13.65459,12.70668,7.776502,15.18486
721,397,52228,0.08840802,0,0,0,200.4114,324.5951,116.4204,34.3006,50.24884,70.01691,126.8984,0,51.59355,0.835814,4.439432,280.109,507.4217,1449.776,0,0,34.13806,80.00375,22.75188,302.1577,984.9644,888.6989,245.3086,206.8053,0,0,0,176.6214,172.0173,10.64289,28.28868,25.60194,9.983451,10.12037,0,8.332415,30.08729,8.680569,12.1555,8.298777,23.71079,0,0,8.835212,7.377635,7.592601,4.140286,16.08846,12.17731,11.61152,9.612277
1281,513,52753,0.1291142,0,0,406.2075,339.9008,472.1507,279.5779,101.6074,13.34183,33.76953,93.68401,36.54105,82.89577,18.31175,0,229.2256,903.5366,2581.533,13.65634,22.74839,18.87443,178.6801,61.51351,230.992,661.3148,679.3882,243.7943,203.3825,0,0,33.29427,212.5331,178.5959,20.44455,22.59779,21.01527,13.08258,18.01017,9.177935,16.84233,11.348,0,17.73656,17.08557,48.8159,31.61313,27.88439,12.54856,11.2247,10.53453,6.61795,21.58264,19.46456,13.17978,19.84878
808,70,52556,0.344841,3.470625,0.205543,2.335224,21.13186,34.30856,0,0,6.091883,8.709926,7.955359,3.285843,0,0,0,27.30038,4.441494,12.68998,0,0,0.3805264,2.229057,0,10.26507,90.78175,30.19138,17.86528,18.28246,12.04446,42.83558,4.400295,4.990761,7.453625,0,22.25578,7.506045,3.365601,4.060958,5.693186,0,0,0,4.251441,0.8079377,2.308393,0,0,21.74703,12.43376,0,2.428995,13.82114,7.144102,6.146925,8.319324
1869,411,53327,0.1672894,0,100.8296,297.2833,740.9256,573.78,345.076,119.3283,14.96948,80.61948,159.2654,19.60665,100.0844,28.49401,0,409.3744,970.4201,2772.629,64.93493,23.76317,55.19785,114.9403,36.4851,327.8817,1528.594,964.3579,316.0898,236.1868,0,55.45076,57.02823,321.8157,288.4667,39.4733,27.80069,23.11379,17.61554,23.4604,13.18448,17.697,15.78863,0,31.67489,57.37934,163.941,35.04449,15.41778,13.9615,15.65992,10.95575,15.62798,75.30441,45.96464,23.48336,34.53634
655,431,52162,0.09388797,0,0,0,241.6093,947.3243,243.7412,78.33984,66.80859,114.0554,205.5108,35.11581,67.20015,0,13.65267,464.9655,790.0978,2257.422,0,0,63.53014,109.688,40.8736,329.0475,1616.383,967.7867,402.7397,281.5885,0,0,0,2240.39,2009.325,21.47873,320.4991,298.157,18.00627,16.30695,14.91037,11.84031,0,9.795716,14.78616,15.06925,43.055,0,0,8.501004,10.87884,8.782841,6.049688,24.44075,17.7932,16.45975,15.19654
670,390,52520,0.202085,50.93768,40.01461,105.2285,42.67059,502.9646,168.2631,21.20637,72.02246,56.62938,110.7249,39.42508,70.81477,9.035349,6.170434,257.4853,638.7217,1824.919,96.89598,5.889833,36.09463,58.04269,8.977254,193.8431,995.2372,570.1267,182.7111,138.2177,42.56968,31.8889,28.48635,39.50863,60.46839,20.51165,22.56767,27.72308,16.64766,16.82445,16.02512,13.93908,23.53391,16.36143,23.23282,34.11331,97.46661,0,10.59209,7.548518,10.41822,7.016469,9.815042,44.22079,28.86777,13.51984,12.90079
2273,549,53709,0.09914251,0,0,0,181.7871,0,45.5882,3.529459,6.86384,21.98234,43.45271,0,15.04881,0,11.76034,77.81716,179.8307,513.8021,8.936887,9.38868,21.70025,21.14368,16.11097,87.9617,263.4216,258.7109,65.50394,57.28094,0,0,0,13.1563,0,8.848808,549.5457,35.66991,6.570415,7.187938,0,5.625453,0,6.583299,7.286061,4.183738,11.95354,0,6.244486,7.381015,4.569211,5.49983,2.715151,7.812704,7.985739,6.432521,7.165143
