RAJ2000,DEJ2000,sf,Plate,MJD,Fib,logHeII/Hb,log[NII]/Ha,Class,BPT,SN,WR,WRcl,Sloan
h:m:s,d:m:s, , , , ,[-],[-], , , , , ,
-----------,------------,-,----,-----,---,-----,-----,-------------,-------------,----,------,-,-----
12 15 18.23,+01 47 51.18, ,518,52282,218,-1.06,-0.43,COMP         ,COMP         ,OKSN,Non-WR,0,Sloan
14 24 05.51,+01 47 57.97, ,534,51997,104,-0.46,-0.09,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
10 31 12.54,+01 48 29.50, ,504,52316,72,-0.47,0.08,AGN          ,AGN          ,OKSN,WR    ,1,Sloan
13 09 42.68,+01 48 52.17, ,525,52295,270,-0.62,-0.06,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 32 36.99,+01 49 15.29, ,513,51989,274,-0.64,-0.16,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
15 04 20.91,+01 51 59.43, ,539,52017,552,-0.56,0.12,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
14 50 19.04,+01 52 05.26, ,538,52029,359,-0.75,-0.24,AGN          ,AGN          ,OKSN,WR    ,1,Sloan
13 26 43.62,+01 52 09.43, ,527,52342,229,-0.79,-0.7,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
13 20 03.38,+01 55 05.59, ,526,52312,178,-0.31,-0.12,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
14 58 26.25,+01 56 46.24, ,538,52029,593,-0.47,-0.39,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
12 12 36.40,+01 58 03.08, ,518,52282,268,-0.57,0.01,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 35 22.77,+01 59 05.12, ,513,51989,159,-0.48,0.05,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
12 18 55.80,+02 00 02.19, ,518,52282,22,-0.87,     ,AGN          ,Low SN SF    ,    ,Non-WR, ,Sloan
12 03 33.87,+02 01 06.47, ,516,52017,67,-0.76,0.16,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 09 57.14,+02 01 38.57, ,510,52381,317,-0.84,0.02,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
15 20 08.54,+02 02 25.93, ,2952,54559,543,-0.53,-0.48,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
12 20 11.89,+02 03 42.27, ,519,52283,280,-0.7,     ,AGN          ,Low SN SF    ,    ,Non-WR, ,Sloan
09 32 03.64,+02 04 03.89, ,475,51965,622,-0.29,0.02,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
13 49 52.84,+02 04 45.10, ,530,52026,165,-0.63,-0.38,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
08 59 03.96,+02 05 04.02, ,469,51913,453,-0.49,-0.11,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
12 32 15.82,+02 06 10.02, ,520,52288,190,-0.82,0,             ,             ,    ,Non-WR, ,Sloan
11 20 55.10,+02 07 05.39, ,511,52636,192,-0.55,-0.28,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
15 46 43.58,+02 08 17.96, ,2955,54562,608,-0.83,0,             ,             ,    ,Non-WR, ,Sloan
10 09 29.40,+02 09 23.10, ,502,51957,394,-0.57,-0.62,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 44 07.30,+02 10 38.91, ,514,51994,194,-0.58,-1.24,AGN          ,Low SN SF    ,    ,Non-WR, ,Sloan
10 49 36.68,+02 11 55.80, ,507,52353,237,-0.51,0,             ,             ,    ,Non-WR, ,Sloan
14 02 31.58,+02 15 46.36, ,532,51993,351,-0.46,-0.09,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
09 52 20.94,+02 16 26.78, ,481,51908,490,-0.65,0,             ,             ,    ,Non-WR, ,Sloan
13 08 42.24,+02 19 24.47, ,525,52295,276,-0.46,-0.45,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
12 46 35.25,+02 22 08.75, ,522,52024,173,-1.14,-0.9,AGN          ,SF           ,OKSN,Non-WR, ,Sloan
12 18 35.45,+02 22 39.94, ,518,52282,74,-0.53,-0.01,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
08 44 14.24,+02 26 21.10,F,564,52224,216,-2.13,-1.2,SF           ,SF           ,OKSN,WR    ,2,Sloan
11 40 29.56,+02 27 44.66, ,514,51994,303,-0.68,-0.12,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
09 57 59.46,+02 28 10.48, ,500,51994,483,-0.64,-0.12,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 57 12.45,+02 28 27.88,F,516,52017,315,-1.99,-1.15,SF           ,SF           ,OKSN,WR    ,2,Sloan
11 11 06.94,+02 28 48.02, ,509,52374,554,-0.54,-0.05,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
10 22 35.15,+02 29 30.52, ,503,51999,585,-0.55,-0.69,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
12 03 32.95,+02 29 34.66, ,517,52024,360,-0.67,-0.54,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
09 01 19.58,+02 29 42.17, ,565,52225,17,-0.45,-0.01,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
09 45 19.23,+02 31 35.65, ,570,52266,47,-0.54,-0.01,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
