RAJ2000,DEJ2000,sf,Plate,MJD,Fib,logHeII/Hb,log[NII]/Ha,Class,BPT,SN,WR,WRcl,Sloan
h:m:s,d:m:s, , , , ,[-],[-], , , , , ,
-----------,------------,-,----,-----,---,-----,-----,-------------,-------------,----,------,-,-----
11 42 52.84,+32 51 24.26, ,2008,53473,423,-0.61,0.03,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
14 31 56.38,+32 51 37.68, ,1841,53491,496,-0.64,0,             ,             ,    ,Non-WR, ,Sloan
08 29 44.34,+32 52 21.00, ,932,52620,506,-0.97,-0.62,COMP         ,COMP         ,OKSN,Non-WR, ,Sloan
10 38 42.76,+32 52 30.29, ,2019,53430,327,-0.62,-0.23,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
13 17 18.57,+32 55 43.72, ,2093,53818,104,-0.83,-0.27,AGN          ,AGN          ,OKSN,WR    ,2,Sloan
17 13 22.59,+32 56 28.02, ,976,52413,619,-0.71,-0.14,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
16 30 04.09,+32 59 21.90, ,1058,52520,179,-0.56,0,             ,             ,    ,Non-WR, ,Sloan
10 11 43.91,+32 59 43.49, ,1952,53378,564,-0.43,-0.12,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
15 51 47.40,+33 00 08.02, ,1403,53227,119,-0.65,0,             ,             ,    ,Non-WR, ,Sloan
13 25 58.81,+33 00 43.12, ,2112,53534,555,-1.44,-0.29,COMP         ,COMP         ,OKSN,WR    ,2,Sloan
10 40 43.93,+33 00 59.22, ,2025,53431,292,-0.81,-0.33,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
10 51 40.58,+33 02 34.21, ,2026,53711,418,-0.67,0.09,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
15 19 32.67,+33 03 29.36, ,1386,53116,104,-0.75,0.02,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
13 25 49.42,+33 03 54.38,F,2112,53534,557,-2.05,-1.57,SF           ,SF           ,OKSN,WR    ,2,Sloan
16 05 02.47,+33 05 45.03, ,1418,53142,53,-0.64,-1.02,AGN          ,Low SN SF    ,    ,Non-WR, ,Sloan
13 30 03.44,+33 06 35.51, ,2109,53468,353,-0.33,0.03,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
14 36 02.53,+33 07 53.69, ,1841,53491,584,-1.1,-0.14,AGN          ,AGN          ,OKSN,WR    ,1,Sloan
10 54 27.89,+33 09 43.50, ,2026,53711,528,-0.84,-0.03,AGN          ,AGN          ,OKSN,WR    ,1,Sloan
13 22 09.97,+33 10 05.66, ,2112,53534,423,-0.7,-0.38,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
15 57 55.24,+33 16 25.91, ,1404,52825,562,-0.57,-0.9,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
08 58 21.11,+33 16 31.01, ,1272,52989,312,-0.69,-0.1,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
12 42 10.61,+33 17 02.63, ,2020,53431,51,-0.74,-0.6,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 44 44.89,+33 19 15.46, ,2097,53491,183,-0.28,-0.06,AGN          ,AGN          ,OKSN,WR    ,1,Sloan
10 56 53.38,+33 19 45.67, ,2026,53711,567,-0.38,0.21,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
08 40 28.60,+33 20 52.26, ,933,52642,10,-0.45,0.13,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
08 22 56.27,+33 22 01.39, ,862,52325,495,-0.56,0.07,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
13 46 07.71,+33 22 10.84, ,2024,53503,397,-0.72,-0.47,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
16 06 55.95,+33 24 00.31, ,1419,53144,420,-0.85,-0.46,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
15 55 32.82,+33 26 19.79, ,1403,53227,16,-0.68,-0.09,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
17 02 27.22,+33 26 28.60, ,972,52435,59,-0.72,-0.52,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
15 52 05.98,+33 28 59.00, ,1403,53227,52,-0.78,-0.09,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
13 53 17.79,+33 29 27.07, ,2117,54115,351,-0.49,-0.19,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
16 41 10.14,+33 29 55.98, ,1339,52767,10,     ,-0.44,Low SN SF    ,Low SN SF    ,    ,Non-WR, ,Sloan
07 42 57.24,+33 32 17.96, ,541,51959,606,-1.04,-0.21,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
12 25 48.87,+33 32 48.74, ,2015,53819,251,-0.67,-0.74,AGN          ,AGN          ,OKSN,WR    ,2,Sloan
12 10 38.60,+33 32 56.22, ,2089,53498,101,-0.56,0.03,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
15 51 09.49,+33 33 02.03, ,1403,53227,91,-1.07,     ,AGN          ,Low SN SF    ,    ,Non-WR, ,Sloan
07 39 10.49,+33 33 53.78, ,541,51959,413,-0.83,0,             ,             ,    ,Non-WR, ,Sloan
07 42 51.09,+33 34 03.86, ,541,51959,617,-0.84,-0.58,COMP         ,COMP         ,OKSN,Non-WR, ,Sloan
12 57 08.58,+33 34 54.20, ,2006,53476,263,-0.47,0.08,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
08 05 20.32,+33 36 08.98, ,891,52584,22,-0.76,-0.09,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
15 19 28.18,+33 36 28.09, ,1386,53116,550,-0.55,-0.3,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
12 07 30.21,+33 41 01.62, ,2089,53498,161,-0.73,-0.01,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
14 45 41.31,+33 41 07.86, ,1646,53498,165,-0.52,0.11,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
16 24 36.40,+33 44 06.77, ,1684,53239,622,-0.63,-0.11,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 47 40.08,+33 47 20.49, ,2097,53491,515,-0.62,0.2,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
16 02 29.84,+33 47 34.98, ,1418,53142,152,-1.29,-0.32,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
13 18 23.78,+33 47 37.31, ,2093,53818,618,-0.48,-0.64,AGN          ,SF           ,OKSN,Non-WR, ,Sloan
12 07 32.93,+33 52 40.16, ,2089,53498,176,-0.73,-0.14,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
14 04 29.24,+33 57 12.12, ,1838,53467,19,-0.57,-0.06,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
16 01 24.60,+33 58 21.33, ,1418,53142,473,-0.82,-1.08,COMP         ,COMP         ,OKSN,Non-WR, ,Sloan
10 51 43.90,+33 59 26.70, ,2025,53431,637,-0.64,-1.45,AGN          ,Low SN SF    ,    ,Non-WR, ,Sloan
10 43 19.74,+34 01 08.47, ,2025,53431,195,-0.55,0.05,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
15 54 43.62,+34 02 28.36, ,1417,53141,124,-0.55,-0.07,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
17 01 02.29,+34 04 00.59, ,972,52435,520,-0.52,-0.44,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 46 29.51,+34 04 07.67, ,2097,53491,491,-0.52,0.05,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
08 30 45.37,+34 05 32.13, ,1197,52668,52,-0.52,-0.41,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 20 11.14,+34 08 58.99, ,2100,53713,342,-0.92,-0.22,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 50 43.86,+34 11 17.43, ,2097,53491,582,-1.28,-0.29,COMP         ,COMP         ,OKSN,Non-WR, ,Sloan
12 47 17.13,+34 11 26.48, ,1987,53765,431,-0.42,-0.24,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 27 24.07,+34 13 13.91, ,2100,53713,532,-0.52,-0.13,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
09 35 03.25,+34 17 03.42, ,1594,52992,297,-0.8,-0.06,AGN          ,AGN          ,OKSN,WR    ,2,Sloan
12 35 47.95,+34 20 11.13, ,2020,53431,388,-0.64,-0.15,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 22 53.55,+34 20 27.34, ,2100,53713,379,-0.82,0.12,AGN          ,AGN          ,OKSN,WR    ,2,Sloan
10 14 10.58,+34 20 34.79,F,1955,53442,354,-1.66,-0.54,SF           ,SF           ,OKSN,WR    ,1,Sloan
15 16 00.59,+34 21 19.14, ,1385,53108,631,-0.76,-0.42,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
07 40 54.01,+34 22 34.39, ,542,51993,270,-0.68,-0.16,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
12 03 01.35,+34 22 59.99, ,2099,53469,623,-0.86,-0.22,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
08 58 28.70,+34 23 43.84, ,1211,52964,96,-0.74,-0.94,AGN          ,SF           ,OKSN,Non-WR, ,Sloan
11 41 13.41,+34 27 44.65, ,2012,53493,109,-0.55,0,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
16 00 41.91,+34 27 59.26, ,1418,53142,461,-0.86,-0.16,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
16 02 43.72,+34 28 18.90, ,1418,53142,534,-0.61,0,             ,             ,    ,Non-WR, ,Sloan
10 20 12.73,+34 28 39.72, ,1955,53442,545,-0.59,-0.93,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 29 47.14,+34 28 42.60, ,2100,53713,603,-0.71,-0.37,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 14 19.24,+34 28 43.66, ,2111,53467,315,-1.01,-0.12,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
09 27 51.12,+34 31 03.61, ,1593,52991,424,-0.49,0,             ,             ,    ,Non-WR, ,Sloan
09 16 19.41,+34 32 30.97, ,1273,52993,158,-0.62,-1.04,AGN          ,SF           ,OKSN,Non-WR, ,Sloan
15 39 44.13,+34 35 03.94, ,1402,52872,238,-0.75,0,             ,             ,    ,Non-WR, ,Sloan
16 21 47.74,+34 36 19.12, ,1057,52522,163,-0.55,0.12,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
10 18 58.54,+34 36 32.31, ,1955,53442,507,-0.86,-0.59,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
10 33 42.38,+34 36 44.82, ,2096,53446,247,-0.69,-0.66,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
12 06 08.39,+34 36 57.21, ,2089,53498,463,-0.34,-0.31,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
10 11 50.15,+34 37 56.79, ,1951,53389,66,-0.68,-0.41,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
17 15 53.47,+34 38 29.38, ,2973,54591,443,-0.51,0.22,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
14 48 52.02,+34 42 42.99,F,1646,53498,616,-1.48,-1.66,SF           ,SF           ,OKSN,Non-WR, ,Sloan
09 12 26.20,+34 44 06.40, ,1273,52993,475,-0.63,0,             ,             ,    ,Non-WR, ,Sloan
07 48 41.62,+34 44 15.26, ,542,51993,39,-0.5,-0.26,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
10 18 46.10,+34 50 01.68, ,1955,53442,426,-0.9,-0.25,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
12 59 00.29,+34 50 42.47, ,2006,53476,404,-2.16,-2.59,AGN          ,AGN          ,OKSN,WR    ,3,Sloan
16 07 46.01,+34 50 48.98, ,1683,53436,341,-0.82,-0.43,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 54 39.70,+34 52 16.40, ,2099,53469,370,-1.02,-0.3,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
13 14 47.37,+34 52 59.81,F,2023,53851,263,-2.37,-1.45,SF           ,SF           ,OKSN,WR    ,3,Sloan
17 13 36.99,+34 55 02.86, ,2972,54586,119,-0.6,0.16,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 21 08.42,+34 55 20.47, ,2111,53467,124,-0.51,-0.08,AGN          ,AGN          ,OKSN,WR    ,1,Sloan
15 35 02.28,+34 55 38.39, ,1401,53144,121,-0.79,-0.12,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
09 43 11.58,+34 56 15.87, ,1594,52992,142,-0.99,0,             ,             ,    ,Non-WR, ,Sloan
08 35 25.79,+34 58 26.20, ,1197,52668,74,-0.51,-0.09,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
09 09 02.22,+34 59 26.55, ,1273,52993,348,-0.58,0,             ,             ,    ,Non-WR, ,Sloan
09 51 33.32,+35 00 12.47, ,1595,52999,1,-0.8,-0.03,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
08 08 27.36,+35 00 21.84, ,892,52378,258,-0.6,-0.08,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
08 58 23.37,+35 02 04.05, ,1211,52964,496,-0.5,-0.62,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
10 32 28.86,+35 02 07.04, ,2096,53446,228,-0.61,-0.72,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
08 57 40.85,+35 03 21.68, ,1211,52964,470,-0.91,-0.81,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
14 35 44.15,+35 04 34.15, ,1645,53172,495,-0.72,-0.03,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
12 54 32.09,+35 05 08.28, ,2031,53848,245,-0.48,-0.08,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
17 11 45.75,+35 09 27.76, ,2972,54586,164,-0.69,-1.33,AGN          ,Low SN SF    ,    ,Non-WR, ,Sloan
12 05 49.87,+35 10 45.95, ,2089,53498,364,-1.35,-0.47,COMP         ,COMP         ,OKSN,Non-WR, ,Sloan
15 58 29.37,+35 13 28.65, ,1418,53142,370,-0.64,-0.33,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
13 06 24.19,+35 13 43.04,F,2016,53799,185,-2.08,-1.71,SF           ,SF           ,OKSN,Non-WR, ,Sloan
10 47 03.37,+35 15 20.86, ,2025,53431,457,-0.94,-0.82,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
16 21 38.10,+35 16 17.28, ,1057,52522,519,-1.16,-0.23,AGN          ,AGN          ,OKSN,WR    ,1,Sloan
15 12 57.87,+35 16 26.43, ,1353,53083,214,-0.64,-0.74,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
08 31 16.15,+35 17 07.43, ,1197,52668,479,-0.8,-0.09,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 38 26.86,+35 18 38.45, ,2012,53493,203,-0.61,-0.64,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 13 24.01,+35 18 48.80, ,2034,53466,632,-0.74,-0.17,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 51 51.40,+35 19 05.50, ,2035,53436,95,-0.76,-0.25,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
15 31 18.92,+35 19 48.71, ,1401,53144,285,-0.65,-0.29,AGN          ,AGN          ,OKSN,WR    ,1,Sloan
09 01 28.46,+35 20 30.22, ,1211,52964,542,-0.85,-0.29,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 07 02.58,+35 20 45.00, ,2034,53466,486,-0.54,0,             ,             ,    ,Non-WR, ,Sloan
09 45 25.90,+35 21 03.61, ,1594,52992,629,-0.33,-0.13,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
16 22 09.42,+35 21 07.44, ,1057,52522,516,-0.79,-0.39,AGN          ,AGN          ,OKSN,WR    ,1,Sloan
16 37 32.37,+35 23 21.24, ,1339,52767,568,-0.59,0.01,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
12 31 55.98,+35 30 15.28, ,2010,53495,272,-1.25,-0.39,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
09 41 46.88,+35 30 36.23, ,1594,52992,504,-0.77,0,             ,             ,    ,Non-WR, ,Sloan
14 43 24.08,+35 33 20.94, ,1383,53116,301,-0.56,-0.04,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
14 50 56.56,+35 34 19.59,F,1383,53116,110,-2.24,-1.41,SF           ,SF           ,OKSN,WR    ,1,Sloan
12 40 37.84,+35 34 37.34, ,2010,53495,1,-0.82,-0.02,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
10 08 23.63,+35 38 41.81, ,1951,53389,518,-0.81,-0.92,AGN          ,SF           ,OKSN,Non-WR, ,Sloan
13 42 08.38,+35 39 15.48, ,2101,53858,49,-0.52,0.01,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
12 49 28.37,+35 39 26.88, ,2022,53827,77,-0.61,0,             ,             ,    ,Non-WR, ,Sloan
11 06 35.61,+35 39 57.75, ,2034,53466,401,-0.39,-0.13,AGN          ,AGN          ,OKSN,WR    ,2,Sloan
08 38 41.98,+35 43 49.95, ,864,52320,124,-1.49,-0.71,AGN          ,SF           ,OKSN,Non-WR,0,Sloan
12 11 35.88,+35 44 17.44, ,2105,53472,188,-0.95,-0.11,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
13 44 17.94,+35 45 30.02, ,2028,53818,366,-0.67,-0.64,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
13 21 45.94,+35 45 30.62, ,2023,53851,543,-0.66,-0.29,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
16 28 33.40,+35 47 08.32, ,1338,52765,196,-0.75,-0.01,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
09 42 52.78,+35 47 25.98,F,1594,52992,563,-1.92,-1.44,SF           ,SF           ,OKSN,Non-WR, ,Sloan
08 43 44.99,+35 49 42.05, ,934,52672,388,-0.7,-0.11,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
15 40 04.25,+35 50 50.11, ,1401,53144,638,-0.71,-1.42,AGN          ,SF           ,OKSN,Non-WR, ,Sloan
14 16 57.36,+35 51 10.54, ,1643,53143,102,-0.47,0.14,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
10 13 03.18,+35 51 23.75, ,1951,53389,614,-0.94,     ,AGN          ,Low SN SF    ,    ,Non-WR, ,Sloan
09 08 16.57,+35 51 31.80, ,1212,52703,172,-0.88,-0.36,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
17 12 28.45,+35 53 02.63, ,2972,54586,558,-0.72,-0.26,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
17 07 18.04,+35 53 47.55, ,2971,54590,127,-0.59,-0.66,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
12 43 16.06,+35 53 53.28, ,2022,53827,224,-0.84,-1.04,AGN          ,SF           ,OKSN,Non-WR, ,Sloan
09 19 13.77,+35 53 58.19, ,1274,52995,353,-0.41,-0.02,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
09 39 52.76,+35 53 58.92, ,1594,52992,417,-0.54,-0.2,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
09 43 07.25,+35 54 08.60, ,1594,52992,576,-0.69,-0.27,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
15 33 38.03,+35 57 08.12, ,1401,53144,517,-0.54,-0.16,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
09 55 52.55,+35 57 56.21, ,1596,52998,251,-0.6,0,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
10 31 34.87,+35 58 57.16, ,2096,53446,343,-1.1,-0.37,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
16 54 20.77,+36 00 49.04, ,819,52409,99,-0.34,0,             ,             ,    ,Non-WR,0,Sloan
08 37 09.39,+36 01 03.38, ,864,52320,208,-0.64,-0.17,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
08 27 02.61,+36 04 07.98, ,827,52312,211,-0.46,-0.06,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
08 18 42.36,+36 04 09.69, ,826,52295,331,-0.62,-0.47,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
16 27 33.34,+36 04 18.60, ,1338,52765,184,-0.64,-0.4,AGN          ,AGN          ,OKSN,WR    ,1,Sloan
07 51 26.21,+36 09 49.33, ,543,52017,195,-0.89,-0.44,COMP         ,COMP         ,OKSN,Non-WR, ,Sloan
17 04 33.57,+36 12 18.82, ,820,52438,39,-0.26,-0.04,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
08 07 07.18,+36 14 00.50, ,892,52378,394,-0.27,-0.12,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
15 35 33.84,+36 14 35.65, ,1401,53144,551,-0.38,0.04,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
08 13 07.47,+36 14 41.72, ,892,52378,556,-0.72,-0.34,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
13 04 22.20,+36 15 43.19, ,2016,53799,430,-1.02,-0.15,AGN          ,AGN          ,OKSN,WR    ,2,Sloan
11 07 26.93,+36 16 12.22, ,2034,53466,446,-0.68,-0.56,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
08 45 03.43,+36 17 35.76, ,934,52672,362,-0.79,-0.23,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
12 32 25.69,+36 17 41.65, ,2010,53495,453,-0.61,-0.07,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
16 29 03.60,+36 19 24.45, ,1338,52765,485,-0.5,-0.23,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
16 18 09.38,+36 19 57.83, ,1056,52764,67,-0.7,-0.88,AGN          ,SF           ,OKSN,Non-WR, ,Sloan
15 09 10.24,+36 21 40.25, ,1353,53083,382,-0.87,0,             ,             ,    ,Non-WR, ,Sloan
08 49 07.92,+36 22 53.21, ,934,52672,531,-0.49,-0.36,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
09 20 21.18,+36 23 28.31, ,1274,52995,393,-0.71,-0.16,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 36 39.57,+36 23 42.89,F,2012,53493,407,-1.82,-1.52,SF           ,SF           ,OKSN,WR    ,2,Sloan
16 29 38.10,+36 24 52.26, ,1338,52765,506,-1.01,-0.35,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
07 52 04.76,+36 24 59.66, ,543,52017,120,-0.77,-1.04,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
08 42 34.94,+36 25 03.18, ,864,52320,63,-0.63,0,             ,             ,    ,Non-WR, ,Sloan
14 28 05.51,+36 27 10.40,F,1644,53144,564,-1.93,-1.6,SF           ,SF           ,OKSN,Non-WR, ,Sloan
09 22 38.69,+36 27 37.88, ,1274,52995,363,-0.54,-1.1,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
15 43 51.50,+36 31 36.79, ,1416,52875,433,-0.76,-0.19,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
14 37 22.14,+36 34 04.28, ,1382,53115,193,-0.77,0.13,AGN          ,AGN          ,OKSN,WR    ,1,Sloan
14 27 43.36,+36 40 07.21, ,1381,53089,127,-0.94,-0.09,AGN          ,AGN          ,OKSN,WR    ,1,Sloan
14 04 14.87,+36 43 32.67,F,1642,53115,155,-2.14,-0.88,SF           ,SF           ,OKSN,WR    ,3,Sloan
08 03 37.42,+36 44 04.63, ,758,52253,232,-0.58,-2.04,AGN          ,Low SN SF    ,    ,Non-WR, ,Sloan
09 05 47.34,+36 46 43.24, ,1212,52703,331,-0.48,0.15,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
12 13 16.57,+36 47 33.74, ,2105,53472,513,-0.74,-0.16,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
14 39 05.46,+36 48 21.85, ,1382,53115,175,-1.62,0,             ,             ,    ,WR    ,3,Sloan
12 53 06.56,+36 49 11.41,F,1989,53772,89,-1.85,-0.52,SF           ,SF           ,OKSN,WR    ,3,Sloan
14 13 19.21,+36 49 18.69, ,1643,53143,468,-0.69,-0.01,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
12 49 28.62,+36 50 09.91, ,1989,53772,248,-0.85,0,             ,             ,    ,Non-WR, ,Sloan
08 14 58.26,+36 53 25.63, ,892,52378,564,-0.97,-0.17,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
13 13 48.97,+36 53 57.96, ,2032,53815,220,-0.78,-0.69,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
12 43 25.66,+36 55 25.40, ,2022,53827,403,-0.83,-0.21,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
12 11 14.56,+36 57 39.61, ,2105,53472,460,-0.63,-1.73,AGN          ,Low SN SF    ,    ,Non-WR, ,Sloan
09 11 41.66,+37 02 04.15, ,1212,52703,603,-0.75,-0.4,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
09 37 37.11,+37 05 35.43, ,1275,52996,600,-0.61,0,             ,             ,    ,Non-WR, ,Sloan
11 57 59.51,+37 07 38.27, ,2027,53433,53,-0.64,0.06,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
08 30 45.22,+37 09 46.78, ,827,52312,112,-0.53,-0.05,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
14 17 55.22,+37 11 27.22, ,1643,53143,601,-0.58,-0.28,AGN          ,AGN          ,OKSN,WR    ,1,Sloan
13 46 51.82,+37 12 31.01, ,2101,53858,622,-1.06,-0.17,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
16 33 38.28,+37 13 14.27, ,1173,52790,218,-0.93,-1.82,AGN          ,SF           ,OKSN,Non-WR, ,Sloan
12 14 16.40,+37 13 15.49, ,2001,53493,241,-0.61,-0.06,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
13 03 54.44,+37 14 01.88,F,2018,53800,96,-2.11,-1.39,SF           ,SF           ,OKSN,WR    ,2,Sloan
16 16 47.31,+37 16 21.22, ,1056,52764,617,-0.56,-0.48,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
16 13 01.64,+37 17 14.88, ,1056,52764,444,-0.6,-0.23,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
10 18 58.47,+37 18 00.75, ,1957,53415,356,-0.88,-0.22,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
10 36 13.22,+37 19 27.57,F,1998,53433,304,-1.93,-0.53,SF           ,SF           ,OKSN,WR    ,3,Sloan
12 41 29.42,+37 22 01.98, ,2022,53827,364,-0.69,-0.09,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
11 13 41.21,+37 22 13.95, ,2030,53499,512,-0.12,0.04,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
10 18 19.24,+37 22 42.43, ,1427,52996,210,-0.5,-0.09,AGN          ,AGN          ,OKSN,WR    ,1,Sloan
09 43 13.56,+37 23 29.11, ,1276,53035,185,-0.52,0.05,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
12 26 23.32,+37 27 01.87, ,1992,53466,260,-0.92,-0.35,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
09 44 25.99,+37 27 40.35, ,1276,53035,169,-1.15,-0.25,AGN          ,AGN          ,OKSN,Non-WR, ,Sloan
10 08 19.11,+37 29 03.43, ,1426,52993,171,-0.69,0.08,AGN          ,AGN          ,OKSN,Non-WR,0,Sloan
