"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
5.328,0.5861184,0.0876670003337,-1.3938418454
5.3613,0.5880392,0.0338765432099,-1.54220008018
5.3946,0.5883136,-0.0199139139139,-1.5769506577
5.4279,0.5866672,-0.0737043710377,-1.51432324327
5.4612,0.5833744,-0.123145812479,-1.39002310062
5.4945,0.5781608,-0.16640707374,-1.28328918397
5.5278,0.5718496,-0.197765765766,-1.45685113431
5.5611,0.5663616,-0.264603269937,-1.61284685865
5.5944,0.5534648,-0.314044711378,-1.51986042321
5.6277,0.5455072,-0.363715048382,-1.43279304218
5.661,0.529592,-0.418192192192,-1.11908315834
5.6943,0.5161464,-0.435130463797,-0.871437559236
5.7276,0.5013288,-0.466489155822,-0.826185433571
5.7609,0.485688,-0.506088088088,-0.417388804665
5.7942,0.4656568,-0.496932265599,-0.0120290460631
5.8275,0.4522112,-0.479307307307,-0.315428318987
5.8608,0.4357472,-0.512039372706,-0.762030521234
5.8941,0.41846,-0.553927260594,-0.591141692243
5.9274,0.3976056,-0.565143143143,-0.00553717993377
5.9607,0.3797696,-0.543398064731,0.36564481287
5.994,0.362208,-0.535386720053,0.576439524832
6.0273,0.3435488,-0.510665999333,0.877356613648
6.0606,0.3276336,-0.471295962629,1.01521330028
6.0939,0.3125416,-0.439021688355,1.03888951792
6.1272,0.2982728,-0.403313980647,1.07039416238
6.1605,0.2856504,-0.367377377377,1.09559787794
6.1938,0.2738512,-0.33166966967,1.17178183634
6.2271,0.263424,-0.291155155155,1.30734727609
6.2604,0.2543688,-0.246291624958,1.48568265741
6.2937,0.2466856,-0.191356690023,1.6223937206
6.327,0.241472,-0.132530530531,1.59298938578
6.3603,0.2381792,-0.0819446112779,1.46639799626
6.3936,0.2362584,-0.0382255588922,1.41866368649
6.4269,0.2354352,0.00961361361361,1.453414264
6.4602,0.2368072,0.059970637304,1.46506143559
6.4935,0.2395512,0.10780980981,1.46009706737
6.5268,0.2439416,0.156793460127,1.45494176192
6.5601,0.2499784,0.205548214882,1.41961837268
6.5934,0.2576616,0.252929596263,1.33789723435
6.6267,0.2669912,0.295275275275,1.23211800389
6.66,0.2774184,0.334187520854,1.13703125882
6.6933,0.2892176,0.371955288622,1.01845923334
6.7266,0.3023888,0.403313980647,0.884039417017
6.7599,0.3163832,0.427348014681,0.842606036133
6.7932,0.330652,0.455502168836,0.886712538364
6.8265,0.3462928,0.492583249917,0.770431759754
6.8598,0.3641288,0.512726059393,0.481543717001
6.8931,0.3808672,0.51959292626,0.26425713891
6.9264,0.3981544,0.535157824491,-0.103297046351
6.9597,0.4173624,0.522568568569,-0.664843466534
6.993,0.4341008,0.480451785118,-0.869528186845
7.0263,0.4494672,0.438792792793,-0.386266034692
7.0596,0.4612664,0.450466466466,0.176998820642
7.0929,0.4785536,0.485258591925,-0.191319113575
7.1262,0.4961152,0.4538998999,-1.03698014553
7.1595,0.5095608,0.396218218218,-1.39842433914
7.1928,0.5219088,0.347921254588,-1.36138251476
7.2261,0.5326104,0.304659993327,-1.23078144322
7.2594,0.54194,0.269638972306,-1.1969855519
7.2927,0.5507208,0.23004004004,-1.31479382842
7.326,0.5575808,0.181514180848,-1.42916523464
7.3593,0.5627944,0.132072739406,-1.46773455693
7.3926,0.5663616,0.0826312979646,-1.46181550252
7.4259,0.5682824,0.0341054387721,-1.43393866561
7.4592,0.5685568,-0.0121314647981,-1.43584803801
7.4925,0.5674592,-0.0597417417417,-1.47288986239
7.5258,0.5647152,-0.109183183183,-1.51966948597
7.5591,0.5605992,-0.169153820487,-1.35030815489
7.5924,0.5523672,-0.199825825826,-1.15688873169
7.6257,0.5477024,-0.239882549216,-1.13798594502
7.659,0.5361776,-0.274674674675,-1.15001499108
7.6923,0.529592,-0.313586920254,-1.2302086315
7.7256,0.515872,-0.366461795128,-1.05110950123
7.7589,0.5037984,-0.384544544545,-0.805946086226
7.7922,0.4909016,-0.414529863197,-0.655678479057
7.8255,0.4763584,-0.441768435102,-0.211558460919
7.8588,0.45962,-0.423685685686,0.0320774561682
7.8921,0.4483696,-0.412927594261,-0.411087875775
7.9254,0.4341008,-0.452526526527,-0.806518897944
7.9587,0.4181856,-0.491667667668,-0.539397700448
7.992,0.4000752,-0.49807674341,0.0399058829712
8.0253,0.38416,-0.476789456123,0.356670762632
8.0586,0.369068,-0.468778111445,0.504074311215
